kepoi_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
K00752.01,CONFIRMED,9.48804,0.146,2.9575,615.8,0.02234,3.20796,2.26,0.0853,89.66,793.0,93.59,24.81,5.13585,28.47082,35.8,5455.0,4.467,0.14,0.927,0.919,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.002,19.46229,48.14191,0.43,0.94,-0.0002,-0.00055,-0.01,0.2,0.2,0.08,0.31,0.32
K00752.02,CONFIRMED,54.41838,0.586,4.507,874.8,0.02795,3.02368,2.83,0.2734,89.57,443.0,9.11,77.9,7.02767,20.10951,25.8,5455.0,4.467,0.14,0.927,0.919,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.003,19.46226,48.14199,-0.63,1.23,0.00066,-0.00105,0.39,0.0,0.39,0.49,0.12,0.5
K00754.01,FALSE POSITIVE,1.73695,1.276,2.40641,8079.2,0.38739,0.2208,33.46,0.0267,67.09,1395.0,891.96,3.278,39.06655,541.8951,505.6,5805.0,4.564,-0.52,0.791,0.836,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809,0.0,19.03564,48.28521,-0.111,0.002,0.00302,-0.00142,-0.249,0.147,0.289,-0.257,0.099,0.276
K00755.01,CONFIRMED,2.52559,0.701,1.6545,603.3,0.02406,1.98635,2.75,0.0374,85.41,1406.0,926.16,8.75,4.74994,33.1919,40.9,6031.0,4.438,0.07,1.046,1.095,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.733,19.25033,48.22626,-0.01,0.23,8e-05,-7e-05,0.03,-0.09,0.1,0.07,0.02,0.07
K00114.01,FALSE POSITIVE,7.36179,1.169,5.022,233.7,0.18339,0.00485,39.21,0.082,60.92,1342.0,767.22,2.4,10.96468,46.15308,47.7,6227.0,3.986,0.0,1.958,1.358,12.66,12.999,12.609,12.515,12.48,11.659,11.415,11.396,0.0,19.92395,42.15826,-13.45,24.09,0.00303,-0.00555,-4.506,7.71,8.93,-4.537,7.713,8.948
K00757.01,CONFIRMED,16.06865,0.052,3.5347,4914.3,0.06216,3.6659,5.76,0.1158,89.92,600.0,30.75,36.85,20.45716,137.44981,161.9,5031.0,4.485,0.16,0.848,0.801,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.063,19.1333,48.37578,0.033,-0.044,0.00026,0.00049,0.041,-0.015,0.044,0.005,0.03,0.031
K00001.01,CONFIRMED,2.47061,0.818,1.74319,14231.0,0.12387,1.83538,13.04,0.0354,84.41,1339.0,761.46,8.3977,544.1701,6468.04,4304.3,5820.0,4.457,-0.06,0.964,0.971,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,0.0,19.12056,49.31643,-0.0232,0.1066,-0.00012,0.00078,-0.009,-0.3,0.3,0.015,-0.27,0.27
K00010.01,CONFIRMED,3.5225,0.631,3.19843,9145.7,0.09209,0.65374,14.59,0.0473,85.2,1521.0,1264.67,7.541,130.83832,1725.5824,1741.5,6225.0,4.169,-0.04,1.451,1.132,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293,0.0,18.75253,42.45106,-0.5515,-0.0597,1e-05,0.00036,0.014,-0.013,0.02,-0.028,0.176,0.178
K00112.02,CONFIRMED,3.70921,0.051,2.6302,131.1,0.01042,1.77451,1.16,0.0465,89.73,1206.0,500.46,10.888,4.86573,41.28873,50.6,5833.0,4.407,-0.04,1.022,0.974,12.772,13.169,12.74,12.602,12.564,11.698,11.402,11.367,0.009,19.70992,48.49568,0.36,0.45,-5e-05,-5e-05,0.24,-0.15,0.29,0.16,-0.13,0.21
K00742.01,FALSE POSITIVE,11.52145,2.483,3.6399,17984.0,1.62536,1.27376,150.51,0.0978,83.13,753.0,75.88,20.75,92.90157,628.3708,622.1,5795.0,4.554,-0.2,0.848,0.938,15.472,15.994,15.419,15.249,15.153,14.248,13.831,13.827,0.895,19.80533,47.59739,0.068,-0.038,0.0,0.0001,0.009,-0.009,0.013,0.147,0.037,0.151
K00743.01,FALSE POSITIVE,19.40394,0.804,12.2155,8918.7,0.09673,0.03785,7.18,0.123,84.93,523.0,17.69,9.099,49.46877,320.90817,214.7,5043.0,4.591,-0.54,0.68,0.657,15.487,16.229,15.44,15.169,14.985,13.95,13.429,13.287,0.048,19.28388,47.63532,0.038,-0.005,-0.00038,-0.0002,-0.001,0.009,0.009,-0.147,-0.038,0.152
K00744.01,FALSE POSITIVE,19.22139,1.065,4.79843,74284.0,0.47663,1.57359,49.29,0.1417,88.05,698.0,55.97,31.323,387.658,2174.4263,2317.0,6117.0,4.496,-0.22,0.947,1.025,15.341,15.798,15.293,15.145,15.053,14.2,13.863,13.727,0.0,19.72097,47.69028,-0.1235,-0.2667,-0.0005,-0.002,0.003,0.005,0.006,-0.018,-0.203,0.203
K00745.01,FALSE POSITIVE,16.46984,0.292,9.4378,10479.0,0.09251,0.19353,7.94,0.1147,88.81,595.0,29.61,14.05,43.1625,258.8247,303.4,5152.0,4.517,-0.2,0.786,0.741,15.788,16.529,15.724,15.47,15.29,14.176,13.688,13.555,0.0,19.81029,47.66863,-0.092,-0.25,0.0007,0.0008,-0.04,-0.004,0.04,0.017,0.001,0.017
K00746.01,CONFIRMED,9.27358,0.387,3.2875,1288.3,0.03256,1.93557,2.47,0.0759,88.93,649.0,41.85,20.65,9.61692,71.48005,87.2,4856.0,4.583,-0.3,0.696,0.676,15.302,16.111,15.24,14.955,14.765,13.672,13.12,13.033,0.037,19.20922,47.72451,-0.05,0.2,0.00034,0.00019,-0.059,-0.008,0.059,0.042,0.344,0.346
K00747.01,CONFIRMED,6.0293,0.258,1.5821,1912.7,0.03884,13.09803,2.85,0.0585,89.5,678.0,50.04,29.31,6.87683,52.36939,65.4,4537.0,4.648,0.21,0.672,0.761,15.784,16.838,15.758,15.332,15.1,14.001,13.37,13.231,0.77,18.91405,47.8632,-0.32,-0.24,-0.00017,-0.0001,0.11,0.01,0.11,-0.19,-0.24,0.3
K00748.01,FALSE POSITIVE,2.69637,0.044,3.6129,397.9,0.01767,0.51471,1.58,0.0349,89.56,1066.0,305.34,5.827,5.5084,34.5709,48.2,4989.0,4.504,0.1,0.819,0.781,15.269,16.07,15.204,14.926,14.789,13.732,13.212,13.14,0.0,18.91766,47.80415,-1.47,-0.53,0.00047,0.00019,1.08,2.19,2.44,0.89,2.32,2.49
K00749.01,CONFIRMED,5.34955,0.092,3.0278,831.0,0.02571,1.73782,2.55,0.0563,89.62,919.0,168.99,13.8015,6.03704,48.5042,60.6,5185.0,4.44,0.16,0.91,0.831,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.002,19.49172,47.88088,-0.71,-0.38,0.00055,0.0003,0.04,-0.02,0.04,-0.02,-0.03,0.04
K00749.02,CONFIRMED,3.94105,0.226,2.5984,363.3,0.01711,1.85636,1.7,0.046,88.88,1018.0,253.15,11.51,4.51189,22.74915,28.9,5185.0,4.44,0.16,0.91,0.831,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.464,19.49175,47.8811,0.2,0.38,-8e-05,-0.00013,-0.23,0.35,0.42,-0.24,0.34,0.42
K00749.03,CONFIRMED,8.10905,0.025,3.596,217.4,0.01313,1.5302,1.3,0.0743,89.92,800.0,97.03,17.46,4.43438,9.77685,14.1,5185.0,4.44,0.16,0.91,0.831,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.013,19.49185,47.88095,3.8,-0.1,-0.00072,2e-05,-0.11,-0.14,0.18,-0.15,-0.15,0.22
K00750.01,CONFIRMED,21.67699,0.896,3.4555,857.2,0.03267,0.60007,2.95,0.1408,87.91,530.0,18.64,24.6,5.91194,24.54073,34.3,4954.0,4.5,0.18,0.828,0.791,15.377,16.172,15.343,15.036,14.826,13.81,13.298,13.201,0.103,19.36436,47.92911,0.54,-0.26,-0.00064,0.0,-0.1,-0.04,0.11,-0.28,-0.23,0.36
K00751.01,CONFIRMED,4.99678,0.71,2.1717,934.7,0.03001,1.71827,2.78,0.0559,86.9,917.0,166.95,13.14,4.13256,24.28333,28.2,5339.0,4.552,0.18,0.847,0.931,15.861,16.577,15.805,15.554,15.445,14.448,14.018,13.903,0.998,19.85389,47.94662,0.26,-0.17,2e-05,1e-05,-0.14,0.17,0.22,-0.06,0.1,0.11
K00769.01,CONFIRMED,4.28096,0.424,2.875,750.8,0.02538,1.24482,2.3,0.0503,87.72,1012.0,247.87,10.64,6.70068,52.91324,61.8,5644.0,4.564,-0.14,0.831,0.928,15.356,15.926,15.314,15.112,15.033,14.121,13.756,13.769,0.0,19.61771,49.3141,-0.33,0.04,0.00073,6e-05,0.003,-0.065,0.066,-0.015,0.158,0.158
K00770.01,FALSE POSITIVE,1.50635,0.86,1.5155,2211.7,0.0499,0.84722,4.53,0.025,79.38,1452.0,1054.12,4.67,9.78773,130.6654,181.1,5714.0,4.563,-0.2,0.831,0.926,15.525,16.051,15.474,15.299,15.23,14.266,13.905,13.821,0.0,19.71104,49.35119,0.769,0.643,-0.00174,-0.0015,0.998,0.821,1.292,0.877,0.734,1.144
K00771.01,FALSE POSITIVE,670.64553,0.701,53.412,18091.0,0.1317,0.02605,14.14,1.5155,89.53,196.0,0.35,85.24,70.64302,96.96236,642.7,5520.0,4.466,0.48,0.983,1.03,15.207,15.533,14.917,15.068,14.96,13.678,13.317,13.254,0.0,19.77989,49.3166,-0.551,0.435,0.0175,-0.0049,-1.286,0.227,1.306,-1.047,0.31,1.092
K00772.01,FALSE POSITIVE,61.25636,1.248,7.633,5123.3,0.33463,0.12411,39.87,0.3137,87.54,505.0,15.43,29.1,31.07984,73.10389,85.3,6144.0,4.402,0.0,1.091,1.093,15.25,15.689,15.199,15.062,15.033,14.203,13.851,13.848,0.156,18.91505,49.4796,-0.43,0.28,0.001,-0.0009,0.063,-0.055,0.083,-0.069,-0.028,0.074
K00773.01,CONFIRMED,38.37755,0.468,5.588,724.2,0.0249,1.40588,2.82,0.2163,89.44,529.0,18.53,47.8,10.3529,31.94649,34.7,5481.0,4.369,0.16,1.036,0.915,15.172,15.654,15.089,14.965,14.874,13.962,13.639,13.497,0.0,19.44814,49.48062,0.36,-0.91,0.00067,-0.00104,-0.85,1.54,1.76,-0.01,0.04,0.04
K00757.02,CONFIRMED,41.19726,0.045,4.6297,2213.9,0.04169,3.9471,3.86,0.217,89.96,439.0,8.76,70.75,11.91816,37.87757,51.2,5031.0,4.485,0.16,0.848,0.801,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.123,19.13329,48.37579,-0.43,0.0,0.00111,0.00012,0.12,0.0,0.12,0.07,0.03,0.08
K00757.03,CONFIRMED,6.25296,0.105,2.5819,1036.9,0.0286,3.28707,2.65,0.0617,89.68,823.0,108.3,18.94,5.83426,35.96252,47.1,5031.0,4.485,0.16,0.848,0.801,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.236,19.13329,48.37583,-0.36,0.15,0.00042,-9e-05,0.03,0.05,0.06,-0.02,0.05,0.05
K00758.01,CONFIRMED,16.01308,0.799,3.2554,1121.9,0.03437,1.10942,3.1,0.1148,88.14,593.0,29.31,24.7,8.469,31.06651,33.2,5015.0,4.499,0.1,0.826,0.785,15.39,16.223,15.342,15.033,14.903,13.855,13.323,13.214,0.167,19.80171,48.47849,-0.03,-0.36,-2e-05,0.00054,-0.06,-0.21,0.22,-0.18,-0.08,0.19
K00759.01,CONFIRMED,32.62877,0.021,4.7971,1804.8,0.03852,2.79093,3.36,0.1889,89.98,506.0,15.55,53.95,14.0889,61.3723,80.0,5586.0,4.56,-0.3,0.798,0.844,15.082,15.64,15.04,14.842,14.765,13.824,13.37,13.299,0.047,19.0479,48.50581,-0.25,-0.17,0.00079,-0.00016,0.037,0.07,0.08,0.121,-0.09,0.15
K00759.02,CONFIRMED,91.77329,0.606,6.473,652.0,0.02432,1.60558,2.12,0.3764,89.61,359.0,3.92,89.4,6.94614,14.6786,19.1,5586.0,4.56,-0.3,0.798,0.844,15.082,15.64,15.04,14.842,14.765,13.824,13.37,13.299,0.599,19.04789,48.50571,-0.5,-0.52,0.00041,0.00016,-0.36,-0.41,0.55,-0.35,-0.55,0.65
K00761.01,FALSE POSITIVE,2.70129,1.016,3.3827,860.4,0.06584,0.02818,6.54,0.0365,62.69,1222.0,527.81,2.22,5.04466,39.74507,48.3,5550.0,4.468,-0.04,0.91,0.889,15.54,16.164,15.463,15.272,15.182,14.09,13.724,13.742,0.0,19.8618,48.78151,7.84,15.08,-0.00608,-0.01249,3.39,5.48,6.45,3.46,5.52,6.51
K00762.01,CONFIRMED,4.49877,0.312,3.7362,460.0,0.01982,0.67106,2.1,0.0542,88.0,1133.0,389.62,8.95,4.43583,26.50158,29.5,6075.0,4.486,-0.12,0.969,1.048,15.395,15.874,15.335,15.19,15.084,14.199,13.853,13.807,0.281,19.89715,48.79174,0.83,0.54,-0.00024,-0.0001,0.09,-0.12,0.15,0.18,0.04,0.19
K00763.01,FALSE POSITIVE,19.65121,0.723,5.2514,11766.0,0.10695,0.67559,12.42,0.1433,88.27,730.0,67.03,23.98,85.46643,509.4985,513.4,6074.0,4.391,-0.12,1.063,1.014,15.536,16.02,15.488,15.329,15.243,14.322,14.024,13.921,0.518,19.40626,48.93383,-0.059,-0.022,0.00021,-0.0002,0.006,0.0,0.006,-0.028,0.033,0.043
K00115.01,CONFIRMED,5.4122,0.787,2.9472,601.6,0.02478,0.51087,2.94,0.0591,85.12,1093.0,337.68,9.25,46.47509,163.47614,166.7,5779.0,4.339,-0.06,1.087,0.941,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.0,19.19249,46.27619,0.007,-0.175,-5e-05,-0.00014,-0.03,0.08,0.08,-0.16,-0.18,0.24
K00764.01,CONFIRMED,41.43959,0.355,10.5989,2793.1,0.04818,0.28189,5.5,0.2288,89.31,516.0,16.72,29.47,27.7886,124.52492,141.1,5468.0,4.367,0.22,1.046,0.93,15.4,16.068,15.32,15.114,14.996,13.948,13.596,13.519,0.043,19.70367,49.0173,0.0,-0.15,-0.00022,-0.0004,-0.029,-0.072,0.078,-0.049,-0.069,0.085
K00765.01,CONFIRMED,8.3539,0.023,2.2514,1041.6,0.0293,6.73215,2.52,0.0768,89.95,790.0,91.9,29.18,5.69678,36.34974,43.4,5592.0,4.582,-0.28,0.787,0.862,15.317,15.862,15.267,15.083,14.985,13.996,13.582,13.533,0.645,19.03329,49.27738,0.32,0.09,-0.00025,-9e-05,0.0,0.09,0.09,0.04,-0.17,0.17
K00766.01,CONFIRMED,4.12554,0.597,3.1744,1487.3,0.0368,0.67162,4.43,0.0529,85.95,1243.0,565.35,8.45,9.38756,94.70979,128.6,6174.0,4.417,0.1,1.103,1.162,15.506,15.977,15.453,15.305,15.253,14.38,14.083,14.198,0.431,19.46241,49.254,0.07,0.07,-0.00012,-9e-05,-0.034,0.009,0.035,-0.066,0.036,0.075
K00767.01,CONFIRMED,2.8165,0.105,2.50587,16814.0,0.11706,2.09079,12.21,0.0383,89.37,1219.0,521.13,9.571,104.64681,1328.3038,1406.8,5532.0,4.452,0.14,0.955,0.941,15.052,15.636,14.988,14.802,14.685,13.732,13.393,13.315,0.0,19.80104,49.22538,0.3386,0.317,-0.00034,0.00069,-0.024,-0.007,0.025,0.032,0.159,0.162
K00768.01,FALSE POSITIVE,33.93373,0.812,14.561,8503.7,0.09539,0.0371,7.34,0.1881,86.45,430.0,8.11,13.12,52.86124,193.4089,236.1,5040.0,4.628,-0.24,0.705,0.782,15.716,16.453,15.673,15.4,15.253,14.249,13.732,13.748,0.0,18.94491,49.36081,3.101,0.336,-0.0247,-0.0016,3.254,0.163,3.258,3.353,0.066,3.353
K00786.01,CONFIRMED,3.68992,0.151,2.6557,426.7,0.01888,1.70798,1.89,0.0469,89.19,1147.0,408.99,10.71,4.87501,31.78679,35.6,5880.0,4.518,-0.06,0.917,1.01,15.242,15.735,15.177,15.031,14.969,14.012,13.72,13.764,0.255,19.44149,50.61826,-0.27,0.07,0.00017,0.00012,-0.27,0.05,0.27,-0.3,-0.02,0.3
K00787.01,CONFIRMED,4.43124,0.405,3.15,1010.9,0.02933,1.01996,3.25,0.0529,87.72,1104.0,351.23,10.19,6.81537,58.25906,71.1,5714.0,4.428,0.16,1.015,1.007,15.367,15.912,15.311,15.133,15.081,14.179,13.799,13.765,0.016,19.72108,51.12197,0.03,0.82,0.0005,-0.0001,-0.097,0.03,0.1,-0.045,0.06,0.07
K00787.02,CONFIRMED,11.37937,0.911,2.6255,1023.5,0.03563,0.63438,3.95,0.0993,86.8,806.0,99.68,16.31,5.25061,29.93016,37.9,5714.0,4.428,0.16,1.015,1.007,15.367,15.912,15.311,15.133,15.081,14.179,13.799,13.765,0.372,19.72111,51.12198,0.93,0.88,-0.00041,-0.00017,0.09,-0.06,0.11,0.14,-0.05,0.15
K00788.01,CONFIRMED,26.39433,0.602,3.573,1510.9,0.03681,2.93923,3.07,0.1635,89.28,489.0,13.49,47.7,8.91768,41.26975,48.2,5129.0,4.595,0.02,0.763,0.846,15.234,15.956,15.16,14.924,14.816,13.757,13.272,13.172,0.592,19.29332,51.25053,0.09,0.77,0.00037,3e-05,-0.18,0.2,0.27,-0.18,0.05,0.18
K00116.01,CONFIRMED,13.57078,0.866,3.3539,511.7,0.02391,0.49865,2.64,0.1096,87.07,785.0,89.61,16.93,18.77121,76.76887,88.4,5854.0,4.406,-0.12,1.012,0.951,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,0.044,20.05761,44.33755,0.61,0.0,-4e-05,0.00011,0.26,0.02,0.26,0.37,0.19,0.41
K00115.02,CONFIRMED,7.12594,0.898,3.0014,192.4,0.01512,0.23879,1.79,0.0711,84.02,997.0,233.31,8.62,6.18147,39.79356,47.1,5779.0,4.339,-0.06,1.087,0.941,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.009,19.1925,46.27604,0.29,-0.73,-7e-05,6e-05,0.03,0.04,0.06,-0.09,-0.21,0.23
K00774.01,FALSE POSITIVE,7.44265,0.137,2.3078,24446.0,0.14394,7.48712,15.03,0.0742,89.72,967.0,206.78,27.99,115.64278,1044.7283,835.6,6108.0,4.469,-0.3,0.956,0.981,15.27,15.712,15.224,15.08,14.994,14.143,13.789,13.699,0.0,19.26579,49.73368,-0.054,-0.201,0.0128,0.0041,-0.068,-0.035,0.076,-0.105,-0.061,0.122
